fecha,cartera_total,cartera_vencida,deuda,patrimonio,intereses_cartera_total,intereses_deuda,vehiculos_mensuales_estimados,ebt
2007-01-31,907953884170.0,33468514080.0,737367281880.0,140126401450.0,9235955370.0,4809681540.0,17806.856671585025,1588010620.0
2007-02-28,969677832420.0,35854565100.0,810398223330.0,140574778650.0,9949004930.0,4796294160.0,17838.343422558803,1542069160.0
2007-03-31,1031461837950.0,45699673230.0,847948921900.0,142128393520.0,10675716170.0,5781327270.0,18654.83196382328,3086214630.0
2007-04-30,1061287376920.0,47813102140.0,887087238310.0,142510951470.0,11329418100.0,6050480310.0,18997.528587050012,1380065230.0
2007-05-31,1074061555470.0,48626913550.0,913030921750.0,144363716630.0,12255372550.0,6704558970.0,19173.651304082494,3459064700.0
2007-06-30,1121623179040.0,54637671420.0,935570212200.0,145024030230.0,12533790340.0,6771594130.0,19312.56238008446,2289427870.0
2007-07-31,1142499334410.0,46208280820.0,971314856120.0,147200400130.0,12944232810.0,7381637820.0,20179.556157617535,2162941800.0
2007-08-31,1160522492280.0,57231516020.0,1025541111510.0,147382119100.0,13588753990.0,8052119390.0,19654.741117503574,1458258120.0
2007-09-30,1228575558070.0,55273593050.0,1143557654110.0,148597606930.0,14168830780.0,8429422680.0,19938.08655387664,2188604790.0
2007-10-31,1243732223860.0,60982658670.0,1128316952870.0,148419633530.0,15060216680.0,9372517260.0,20267.64983666765,660097900.0
2007-11-30,1277432028620.0,63737141330.0,1142047940050.0,149297584470.0,15603750130.0,9236642230.0,21012.016757854282,2335538120.0
2007-12-31,1323307040800.0,73844350410.0,1103433509760.0,156473709020.0,16311526350.0,9974613000.0,24989.175247296243,11378544390.0
2008-01-31,1321259632470.0,72761236910.0,1099875575860.0,151629711500.0,17171268559.999998,10791219600.0,16693.99840411708,3969139020.0
2008-02-29,1350484804580.0,73170620810.0,1117529598040.0,153634897180.0,17505859060.0,10024113120.0,17236.694931562088,4077030750.0
2008-03-31,1382709615780.0,101853599920.0,1162677822600.0,154327061800.0,18163038720.0,10511455410.0,17104.868494865765,3677777950.0
